Food_Code,Food_Name,Nutrient_Payload
D013,"[D013] Bottle gourd, (Solanum melongena)","Macronutrients [Protein: 0.06±0.019g, Fat: 0.11±0.003g, Carbs: 36.67±7.69g] | Water-Soluble Vitamins [Folate (B9): 0.09±0.02 mcg, Vitamin C: 12.75±0.33 mg, B1: Brinjal-4 mg, B2: 4 mg] | Fat-Soluble Vitamins [Vitamin A: Brinjal-4 mcg, Vitamin D2: 4 mcg, Vitamin E: 138±34.2 mg] | Minerals [Calcium: 4 mg, Iron: 0.11±0.00 mg, Magnesium: 13.39±3.79 mg, Zinc: 0.002±0.001 mg] | Minerals [Calcium: 4 mg, Iron: 20.65±7.46 mg, Magnesium: 0.18±0.03 mg, Zinc: 0.001±0.000 mg]"
D014,[D014] Vegetable (Solanum melongena),"Macronutrients [Protein: 89.45±1.73g, Fat: 1.38±0.26g, Carbs: 4.02±2.01g] | Water-Soluble Vitamins [Folate (B9): 0.10±0.02 mcg, Vitamin C: 13.05±0.64 mg, B1: Brinjal-5 mg, B2: 3 mg] | Minerals [Calcium: 3 mg, Iron: 0.08±0.00 mg, Magnesium: 0.001±0.001 mg, Zinc: 17.03±2.93 mg] | Minerals [Calcium: 3 mg, Iron: 25.36±11.97 mg, Magnesium: 0.16±0.02 mg, Zinc: 0.001±0.001 mg]"
D015,[D015] Vegetable (Solanum melongena),"Macronutrients [Protein: 90.57g, Fat: 1.46g, Carbs: 3.29g] | Water-Soluble Vitamins [Folate (B9): 0.08 mcg, Vitamin C: 21.45 mg, B1: Brinjal-6 mg, B2: 2 mg] | Minerals [Calcium: 2 mg, Iron: 0.07 mg, Magnesium: 0.001 mg, Zinc: 17.17 mg] | Minerals [Calcium: 2 mg, Iron: 18.82 mg, Magnesium: 0.20 mg, Zinc: 0.003 mg]"
D016,[D016] Vegetable (Solanum melongena),"Macronutrients [Protein: 91.25g, Fat: 1.40g, Carbs: 3.10g] | Water-Soluble Vitamins [Folate (B9): 0.03 mcg, Vitamin C: 13.14 mg, B1: Brinjal-7 mg, B2: 1 mg] | Minerals [Calcium: 1 mg, Iron: 0.15 mg, Magnesium: 0.001 mg, Zinc: 19.95 mg] | Minerals [Calcium: 1 mg, Iron: 15.26 mg, Magnesium: 0.16 mg, Zinc: 0.001 mg]"
D017,[D017] melongena),"Macronutrients [Protein: 89.28±0.39g, Fat: 1.82±0.16g, Carbs: 3.75±0.18g] | Water-Soluble Vitamins [Folate (B9): 0.08±0.02 mcg, Vitamin C: 13.94±2.56 mg, B1: Brinjal-8(Solanum mg, B2: 3 mg] | Minerals [Calcium: 3 mg, Iron: 0.09±0.00 mg, Magnesium: 21±2 mg, Zinc: 0.004±0.001 mg] | Minerals [Calcium: 3 mg, Iron: 26.63±8.03 mg, Magnesium: 0.19±0.02 mg, Zinc: 0.002±0.001 mg]"
D018,[D018] melongena),"Macronutrients [Protein: 89.83g, Fat: 1.47g, Carbs: 3.52g] | Water-Soluble Vitamins [Folate (B9): 0.09 mcg, Vitamin C: 14.05 mg, B1: Brinjal-9(Solanum mg, B2: 2 mg] | Minerals [Calcium: 2 mg, Iron: 0.02 mg, Magnesium: 18.79 mg, Zinc: 0.006 mg] | Minerals [Calcium: 2 mg, Iron: 26.23 mg, Magnesium: 0.16 mg, Zinc: 0.003 mg]"
D019,[D019] Vegetable (Solanum melongena),"Macronutrients [Protein: 89.38g, Fat: 1.68g, Carbs: 4.08g] | Water-Soluble Vitamins [Folate (B9): 0.05 mcg, Vitamin C: 14.25 mg, B1: Brinjal-10 mg, B2: 2 mg] | Minerals [Calcium: 2 mg, Iron: 0.12 mg, Magnesium: 0.001 mg, Zinc: 15.59 mg] | Minerals [Calcium: 2 mg, Iron: 22.11 mg, Magnesium: 0.18 mg, Zinc: 0.016 mg]"
D020,[D020] Vegetable (Solanum melongena),"Macronutrients [Protein: 89.93±0.89g, Fat: 1.43±0.20g, Carbs: 3.53±1.01g] | Water-Soluble Vitamins [Folate (B9): 0.07±0.03 mcg, Vitamin C: 14.46±1.91 mg, B1: Brinjal-11 mg, B2: 6 mg] | Minerals [Calcium: 6 mg, Iron: 0.06±0.01 mg, Magnesium: 15.92±2.76 mg, Zinc: 0.006±0.004 mg] | Minerals [Calcium: 6 mg, Iron: 20.73±5.13 mg, Magnesium: 0.14±0.02 mg, Zinc: 0.002±0.001 mg]"
D021,[D021] Vegetable (Solanum melongena),"Macronutrients [Protein: 90.94g, Fat: 1.60g, Carbs: 2.73g] | Water-Soluble Vitamins [Folate (B9): 0.09 mcg, Vitamin C: 14.32 mg, B1: Brinjal-12 mg, B2: 2 mg] | Minerals [Calcium: 2 mg, Iron: 0.09 mg, Magnesium: 0.001 mg, Zinc: 19.85 mg] | Minerals [Calcium: 2 mg, Iron: 19.26 mg, Magnesium: 0.18 mg, Zinc: 0.001 mg]"
D022,[D022] melongena),"Macronutrients [Protein: 89.14g, Fat: 1.49g, Carbs: 4.51g] | Water-Soluble Vitamins [Folate (B9): 0.07 mcg, Vitamin C: 14.29 mg, B1: Brinjal-13(Solanum mg, B2: 1 mg] | Minerals [Calcium: 1 mg, Iron: 0.04 mg, Magnesium: 18.95 mg, Zinc: 0.005 mg] | Minerals [Calcium: 1 mg, Iron: 18.00 mg, Magnesium: 0.15 mg, Zinc: 0.007 mg]"
